gid_root,file_country,level,file
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
ZAF,ZAF,4,gadm41_ZAF_4.json
